ID,District,Name,Address,Contact
73,COIMBATORE,"KONGUNAD HOSPITAL,COIMBATORE TN.","116,117, 11TH STREET, TATABAD, COIMBATORE",9944400576
74,COIMBATORE,"GEM HOSPITAL AND RESEARCH CENTER,COIMBATORE TN.","45A,PANKAJA MILL ROAD , RAMANATHAPURAM, COIMBATORE - 641045",9894200200
75,COIMBATORE,"VGM HOSPITAL,COIMBATORE TN.","NO.2100,TRICHY ROAD,RAJALAKSHMI MILLS STOP,COIMBATORE",9842204995
76,COIMBATORE,"ALWA HOSPITAL,COIMBATORE,TN.","74-A/2,MEENKARAI ROAD, AMBARAMPALAYAM-64210",9486779942
77,COIMBATORE,"NATARAJ MEDICAL CARE CTR MADUKKARAI,COIMBATORE TN.",14/11A BAZAAR STREET MADUKKARAI,9865999890
78,COIMBATORE,"ASHWIN POLYCLINIC,COIMBATORE TN.","NO.1, ALAMU NAGAR, SATHY MAIN ROAD, GANDHIPURAM, COIMBATORE",9884080033
79,CUDDALORE,"JIPMER HOSPITAL PONDICHERRY,TN.","DHANVANTRI NAGAR, GORIMEDU, PUDUCHERRY,",0413-2296501
80,CUDDALORE,"GOVT. VIRUDHACHALAM HOSPITAL, CUDDALORE TN.","THENKOTTAI VEETHI, VIRUDHACHALAM",9965311944
81,CUDDALORE,"GOVT HOSPITAL PANRUTI, CUDDALORE TN.","KUMBAKONAM ROAD, GOVT HOSPITAL, PANRUTI",9486836132
82,CUDDALORE,"MANAKULA VINAYAGAR MEDICAL COLLEGE, PONDICHERRY TN","KALITHEERTHALKUPPAM, MADAGADIPET, PUDUCHERRY",9443228493
83,CUDDALORE,"KRISHNA HOSPITAL, CUDDALORE TN.","NO, 17-A, HOSPITAL ROAD,CUDDALORE",9367612970
84,CUDDALORE,"ARUPADAIVEEDU MEDICAL COLLEGE,CUDDALORE TN.",PONDY -CUDDALORE MAIN ROAD KIRUMAMBAKKAM PUDUCHERRY - 607 403,0413-2615185
85,CUDDALORE,"GOVT HOSPITAL PARANGIPETAI,CUDDALORE TN.","KUTCHERY STREET, CUDDALORE, PARANGIPETTAI,",9489840758
86,CUDDALORE,EAST COAST HOSPITAL PONDICHERRY TN.,"NO 1, PARIS NAGAR,MOOLAKULAM,PUDUCHERRY",9842353322
87,CUDDALORE,"GOVT HOSPITAL TITTAKUDI, CUDDALORE TN.","CUDDALORE MAIN ROAD,THITTAKUDI",9443422828
